term,count
update,17712
ios,17563
fix,15003
all,11450
new,10239
battery,9321
from,7069
since,6612
after,6175
out,6015
app,5923
time,5860
been,5564
off,5415
updated,5338
screen,5162
work,4902
issue,4901
any,4806
apps,4736
there,4706
problem,4596
shit,4555
back,4450
even,4336
every,4185
hey,4155
will,4079
working,4033
music,3868
going,3799
only,3744
don,3576
had,3552
they,3549
about,3375
use,3356
keeps,3263
letter,3033
doesn,2976
then,2919
same,2904
question,2896
getting,2895
know,2892
type,2862
last,2842
having,2813
again,2704
tried,2664
wifi,2617
see,2577
plus,2539
ever,2529
latest,2520
because,2495
life,2436
day,2420
keep,2414
issues,2410
make,2404
bug,2387
using,2380
times,2372
won,2344
store,2336
wtf,2326
ipad,2324
before,2323
some,2285
slow,2242
turn,2240
already,2222
updates,2194
it's,2177
its,2165
glitch,2146
never,2140
software,2134
these,2132
them,2114
into,2095
itunes,2077
down,2073
way,2062
too,2055
freezing,2046
annoying,2016
fixed,2016
trying,2008
fucking,2005
very,1991
watch,1985
more,1972
guys,1905
thing,1904
other,1897
than,1880
nothing,1847
stop,1847
icloud,1845
mark,1837
over,1803
hours,1798
keyboard,1787
text,1730
try,1726
old,1702
macbook,1699
anyone,1685
open,1684
happening,1684
photos,1682
should,1675
much,1656
updating,1645
support,1639
without,1637
call,1617
doing,1616
everything,1610
download,1590
reset,1584
didn,1584
today,1564
let,1562
right,1556
email,1552
think,1523
box,1514
anything,1513
else,1502
days,1500
bluetooth,1496
fuck,1492
charge,1490
where,1489
message,1487
done,1482
works,1466
while,1462
minutes,1452
problems,1431
freezes,1426
send,1423
something,1416
says,1415
dear,1409
being,1402
come,1395
upgrade,1379
mac,1377
calls,1360
messages,1349
phones,1344
well,1334
many,1329
good,1328
restart,1327
people,1296
settings,1291
crashing,1280
change,1267
version,1265
here,1262
which,1261
service,1260
seems,1245
home,1244
ago,1237
account,1233
able,1231
together,1223
happens,1219
sierra,1218
pro,1215
fine,1214
take,1208
wrong,1203
buy,1194
turning,1184
first,1179
